,3_day_10,3_day_50,3_day_90,5_day_10,5_day_50,5_day_90,7_day_10,7_day_50,7_day_90,14_day_10,14_day_50,14_day_90
separate,3.8020475225207626,13.164969782273753,59.632001810624374,6.258119931698195,22.559309995636855,114.07291265518445,9.952185708393584,39.562635666188825,300.5253274091473,30.37265028853154,226.26075997239874,11321.463328119302
shared,7.0497382501932755,12.552168363952218,25.99178810637302,11.678574208869154,19.766555411001107,37.72860229701711,16.59434411963302,28.650556774386196,55.007364201417005,36.55322042287481,62.45265223332026,224.74835023224531
demographics,17.817363427154344,25.699412077853548,30.903451628663216,30.304440572536162,41.01944159333249,50.62187961438675,47.77026941985112,62.25801746284404,117.11324230082865,260.47652624012017,551.7762862497036,4366271.815524943
expanded shared,6.861684036124126,9.587409339691574,35.54574373440801,11.169403537416027,14.54240057592817,44.27680423241385,15.086331632184098,18.52456884300331,52.12878971997353,23.12563619123934,31.17826052127851,1235.7649509378748
linear,3.389590398392524,9.370344261820405,29.668534595054897,5.2676656695948925,14.251933963104793,40.263531232136756,7.180695538388755,18.595175025527453,56.10431870300521,15.584706174427614,33.16364274921025,87.20538559984249
ensemble,4.33743457054494,8.17749554597694,22.59637268183666,6.5850040913793135,12.213438958029506,31.986212997721623,8.787372178751252,15.139179580650783,42.4708806311708,14.61011194130441,26.45073231195235,93.02680890844363
