,3_day_10,3_day_50,3_day_90,5_day_10,5_day_50,5_day_90,7_day_10,7_day_50,7_day_90,14_day_10,14_day_50,14_day_90
separate,2.3520128532732274,8.101434674682706,25.131949822249236,3.6703447679059455,13.93723589207733,57.031940246687824,5.330377487946479,24.30487648397109,124.60663896103415,14.581042435058647,105.63965584082179,15421.75003350334
shared,7.538102423848285,12.035504093494435,19.430203830343704,13.122645991233393,19.928737083657737,36.739992042197215,18.813524072332676,28.08837698826881,72.7395193092535,33.692546392750444,69.35403887611379,325.500020497237
demographics,17.46670093069007,48.35127704709404,54.54407792941265,35.40793356207006,108.47064796930657,119.70914326709558,59.28931527924192,217.63652273288434,243.56360643344556,675.9563191147763,3184.970870195046,572017.9431172463
expanded shared,8.074630925647467,10.689227961877464,14.318323178567415,13.095362637544225,16.68059597128022,23.024595981506618,18.23538788183332,22.954215439826772,42.83728367502085,29.901852289891675,36.563002369936974,329.20863093040316
linear,2.1492220650636087,5.933432835820902,13.814159292035399,3.6721664275465997,9.492125984251944,20.01640625000001,4.907407407407381,12.050763358778603,26.888,10.238857142857116,25.469230769230776,56.733999999999995
ensemble,2.7649158924299364,5.975505467495354,11.9341742914118,4.085338375408495,8.644925123836524,18.670253411158757,5.418917634793716,10.638916488910581,27.2866533934663,9.175800837546959,22.499200397466247,81.77288461931155
