location,date,cumul_deaths,deaths,1_day_cumul_mean,1_day_cumul_lower,1_day_cumul_upper,1_day_mean,1_day_lower,1_day_upper,2_day_cumul_mean,2_day_cumul_lower,2_day_cumul_upper,2_day_mean,2_day_lower,2_day_upper,3_day_cumul_mean,3_day_cumul_lower,3_day_cumul_upper,3_day_mean,3_day_lower,3_day_upper,4_day_cumul_mean,4_day_cumul_lower,4_day_cumul_upper,4_day_mean,4_day_lower,4_day_upper,5_day_cumul_mean,5_day_cumul_lower,5_day_cumul_upper,5_day_mean,5_day_lower,5_day_upper,6_day_cumul_mean,6_day_cumul_lower,6_day_cumul_upper,6_day_mean,6_day_lower,6_day_upper,7_day_cumul_mean,7_day_cumul_lower,7_day_cumul_upper,7_day_mean,7_day_lower,7_day_upper,8_day_cumul_mean,8_day_cumul_lower,8_day_cumul_upper,8_day_mean,8_day_lower,8_day_upper,9_day_cumul_mean,9_day_cumul_lower,9_day_cumul_upper,9_day_mean,9_day_lower,9_day_upper,10_day_cumul_mean,10_day_cumul_lower,10_day_cumul_upper,10_day_mean,10_day_lower,10_day_upper,14_day_cumul_mean,14_day_cumul_lower,14_day_cumul_upper,14_day_mean,14_day_lower,14_day_upper,21_day_cumul_mean,21_day_cumul_lower,21_day_cumul_upper,21_day_mean,21_day_lower,21_day_upper
Alabama,2020-03-29,10,6,13.776,13.0,14.0,3.7760000000000002,3.0,4.0,18.55,17.0,19.025,4.774,4.0,5.02499999999998,24.605,22.0,26.025,6.055,5.0,7.0,32.195,28.0,35.025,7.59,6.0,9.0,41.588,35.0,47.025,9.392999999999999,7.0,12.0,53.06,43.0,62.025,11.472000000000001,8.0,15.0,66.877,53.0,80.025,13.817,10.0,18.0,83.305,64.0,102.025,16.428,11.0,22.0,102.62700000000001,77.0,129.025,19.322,13.0,27.0,125.103,91.975,161.025,22.476,14.975,32.0,250.097,170.95,342.05,36.743,23.0,54.0,593.595,383.95,854.05,55.613,35.0,83.0
Alaska,2020-03-29,2,0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.002,2.0,2.0,0.002,0.0,0.0,2.017,2.0,2.0,0.015,0.0,0.0,2.086,2.0,3.0,0.069,0.0,1.0,2.228,2.0,4.0,0.142,0.0,1.0,2.4659999999999997,2.0,5.0,0.23800000000000002,0.0,1.0,4.573,2.0,11.0,0.735,0.0,2.0,14.705,3.0,33.025,2.0709999999999997,1.0,4.0
Arizona,2020-03-29,17,2,21.226999999999997,21.0,22.0,4.227,4.0,5.0,26.374000000000002,26.0,28.0,5.147,5.0,6.0,32.597,32.0,35.0,6.223,6.0,7.0,40.025,39.0,43.0,7.428,7.0,8.0,48.81399999999999,47.0,53.0,8.789,8.0,10.0,59.074,56.0,64.0,10.26,9.0,11.0,70.997,67.0,77.0,11.923,11.0,13.0,84.757,79.0,92.025,13.76,12.0,15.025,100.588,93.0,110.025,15.831,14.0,18.0,118.691,109.0,130.025,18.102999999999998,16.0,20.0,218.011,197.0,243.025,29.008000000000003,26.0,33.0,499.37,437.925,563.025,47.887,39.975,55.0
Arkansas,2020-03-29,6,1,8.0,8.0,8.0,2.0,2.0,2.0,10.765,10.0,11.0,2.765,2.0,3.0,14.07,13.0,15.0,3.305,3.0,4.0,18.173,16.0,20.0,4.103,3.0,5.0,23.194000000000003,20.0,26.0,5.021,4.0,6.0,29.243000000000002,24.0,34.0,6.0489999999999995,4.0,8.0,36.427,29.0,43.0,7.184,5.0,9.0,44.886,35.0,54.0,8.459,6.0,11.0,54.714,42.0,67.0,9.828,7.0,13.0,66.015,50.0,83.0,11.300999999999998,8.0,16.0,127.042,92.0,169.0,17.678,12.0,25.0,284.805,197.0,394.05,24.842,17.0,35.0
California,2020-03-29,124,14,147.572,145.0,150.0,23.572,21.0,26.0,174.551,169.0,180.0,26.979,24.0,30.0,205.153,196.0,214.0,30.601999999999997,27.0,34.0,239.64,227.0,252.0,34.486999999999995,31.0,38.0,278.21299999999997,261.0,294.0,38.573,34.0,42.0,321.073,299.0,340.0,42.86,38.0,46.0,368.31,342.0,391.0,47.236999999999995,43.0,51.0,420.06199999999995,390.0,447.0,51.751999999999995,48.0,56.0,476.36400000000003,442.0,510.0,56.302,52.0,63.0,536.908,497.0,580.0,60.544,55.0,70.0,818.3330000000001,726.95,936.0,75.822,57.975,101.0,1425.2160000000001,1072.925,1894.0,93.11200000000001,40.0,163.0
Colorado,2020-03-29,47,16,59.747,58.0,61.0,12.747,11.0,14.0,75.245,71.0,79.0,15.498,13.0,18.0,93.809,87.0,101.0,18.564,16.0,22.0,115.853,105.0,127.0,22.044,18.0,26.0,141.668,126.0,158.0,25.815,21.0,31.0,171.535,150.0,194.0,29.866999999999997,24.0,36.0,205.658,177.0,235.0,34.123000000000005,27.0,41.0,244.157,207.0,282.0,38.499,30.0,47.0,287.555,240.0,336.0,43.398,33.0,54.0,335.986,277.0,396.0,48.431000000000004,37.0,60.0,579.585,460.0,703.0,68.05199999999999,51.0,86.0,1140.664,890.975,1407.0,84.376,67.0,104.0
Connecticut,2020-03-29,34,1,41.0,41.0,41.0,7.0,7.0,7.0,48.995,49.0,49.0,7.995,8.0,8.0,57.958,57.0,58.0,8.963,8.0,9.0,67.902,66.0,69.0,9.943999999999999,9.0,11.0,78.893,76.0,81.0,10.991,10.0,12.0,90.90299999999999,87.0,94.0,12.01,11.0,13.0,103.98200000000001,99.0,109.0,13.079,12.0,15.0,118.26,112.0,125.0,14.277999999999999,13.0,16.0,133.268,125.0,142.0,15.008,13.0,17.0,148.959,138.0,160.0,15.690999999999999,13.0,18.0,214.08,189.0,239.0,16.287,12.0,20.0,310.817,251.0,369.0,11.138,6.0,16.0
Delaware,2020-03-29,6,1,8.002,8.0,8.0,2.002,2.0,2.0,10.838,10.0,11.0,2.8360000000000003,2.0,3.0,14.248,13.0,15.0,3.41,3.0,4.0,18.477999999999998,16.0,20.0,4.23,3.0,5.0,23.66,20.0,26.0,5.182,4.0,6.0,29.936,25.0,34.0,6.276,5.0,8.0,37.414,31.0,43.0,7.478,6.0,9.0,46.256,37.0,54.0,8.842,6.0,11.0,56.57,44.0,67.025,10.314,7.0,13.025,68.471,53.0,83.025,11.901,9.0,16.0,133.363,99.0,171.025,18.887999999999998,13.0,26.0,303.793,220.0,403.025,26.982,19.0,37.0
District of Columbia,2020-03-29,5,1,6.0,6.0,6.0,1.0,1.0,1.0,7.0,7.0,7.0,1.0,1.0,1.0,8.0,8.0,8.0,1.0,1.0,1.0,9.885,9.0,10.0,1.885,1.0,2.0,11.885,11.0,12.0,2.0,2.0,2.0,13.885,13.0,14.0,2.0,2.0,2.0,15.885,15.0,16.0,2.0,2.0,2.0,17.918,17.0,19.0,2.033,2.0,3.0,20.601999999999997,19.0,22.0,2.6839999999999997,2.0,3.0,23.601,22.0,25.0,2.9989999999999997,3.0,3.0,36.779,34.0,40.0,3.5,3.0,4.0,64.49600000000001,55.0,77.0,4.268,3.0,6.0
Florida,2020-03-29,56,2,67.828,65.0,71.025,11.828,9.0,15.025,81.789,76.0,90.025,13.960999999999999,11.0,19.0,98.18,88.0,112.05,16.391,12.0,22.025,117.25399999999999,102.0,138.05,19.074,14.0,26.0,139.297,118.0,169.05,22.043000000000003,16.0,31.0,164.571,136.0,205.05,25.274,18.0,36.0,193.34400000000002,156.0,247.05,28.773000000000003,20.0,42.0,225.861,178.0,294.075,32.516999999999996,22.0,47.025,262.312,203.0,349.075,36.451,25.0,55.0,303.285,230.0,413.075,40.973,27.0,64.0,519.21,359.0,773.075,62.376999999999995,36.0,108.0,1136.328,659.95,1970.1,108.419,47.0,225.0
