location,date,cumul_deaths,deaths,1_day_cumul_mean,1_day_cumul_lower,1_day_cumul_upper,1_day_mean,1_day_lower,1_day_upper,2_day_cumul_mean,2_day_cumul_lower,2_day_cumul_upper,2_day_mean,2_day_lower,2_day_upper,3_day_cumul_mean,3_day_cumul_lower,3_day_cumul_upper,3_day_mean,3_day_lower,3_day_upper,4_day_cumul_mean,4_day_cumul_lower,4_day_cumul_upper,4_day_mean,4_day_lower,4_day_upper,5_day_cumul_mean,5_day_cumul_lower,5_day_cumul_upper,5_day_mean,5_day_lower,5_day_upper,6_day_cumul_mean,6_day_cumul_lower,6_day_cumul_upper,6_day_mean,6_day_lower,6_day_upper,7_day_cumul_mean,7_day_cumul_lower,7_day_cumul_upper,7_day_mean,7_day_lower,7_day_upper,8_day_cumul_mean,8_day_cumul_lower,8_day_cumul_upper,8_day_mean,8_day_lower,8_day_upper,9_day_cumul_mean,9_day_cumul_lower,9_day_cumul_upper,9_day_mean,9_day_lower,9_day_upper,10_day_cumul_mean,10_day_cumul_lower,10_day_cumul_upper,10_day_mean,10_day_lower,10_day_upper,14_day_cumul_mean,14_day_cumul_lower,14_day_cumul_upper,14_day_mean,14_day_lower,14_day_upper,21_day_cumul_mean,21_day_cumul_lower,21_day_cumul_upper,21_day_mean,21_day_lower,21_day_upper
Georgia,2020-03-29,80,11,94.726,94.0,96.0,14.725999999999999,14.0,16.0,111.62,110.0,114.0,16.894000000000002,16.0,18.0,130.931,128.0,135.0,19.311,18.0,21.0,152.9,149.0,159.0,21.969,21.0,24.0,177.858,173.0,186.0,24.958000000000002,24.0,27.0,205.865,199.0,217.0,28.006999999999998,26.0,31.0,237.12,228.0,251.0,31.255,29.0,34.0,271.802,260.0,289.0,34.681999999999995,32.0,38.0,310.069,295.0,331.0,38.266999999999996,35.0,42.0,352.029,334.0,378.0,41.96,39.0,47.0,558.15,520.0,608.0,57.284,51.0,64.0,1053.3339999999998,952.0,1157.05,79.051,68.0,87.0
Hawaii,2020-03-29,1,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.002,1.0,1.0,0.002,0.0,0.0,1.028,1.0,2.0,0.026000000000000002,0.0,1.0,1.125,1.0,3.0,0.09699999999999999,0.0,1.0,1.3159999999999998,1.0,4.0,0.191,0.0,1.0,1.6440000000000001,1.0,5.0,0.32799999999999996,0.0,1.0,2.1319999999999997,1.0,7.0,0.488,0.0,2.0,2.783,1.0,9.0,0.6509999999999999,0.0,2.0,3.655,1.0,11.0,0.872,0.0,2.0,10.175,1.0,27.0,2.178,0.0,5.0,41.004,9.0,90.0,6.452999999999999,2.0,12.0
Idaho,2020-03-29,5,1,6.0,6.0,6.0,1.0,1.0,1.0,7.001,7.0,7.0,1.001,1.0,1.0,8.253,8.0,9.0,1.252,1.0,2.0,9.792,9.0,11.0,1.5390000000000001,1.0,2.0,11.745,10.0,13.0,1.953,1.0,2.0,13.748,12.0,15.0,2.003,2.0,2.0,15.808,14.0,18.0,2.06,2.0,3.0,18.033,16.0,21.0,2.225,2.0,3.0,20.425,18.0,24.0,2.392,2.0,3.0,22.908,20.0,27.0,2.483,2.0,3.0,33.625,28.0,40.025,2.786,2.0,4.0,52.438,42.0,63.025,2.406,2.0,3.0
Illinois,2020-03-29,66,19,84.23299999999999,84.0,85.0,18.233,18.0,19.0,106.428,105.0,108.0,22.195,21.0,23.0,133.056,131.0,136.0,26.628,26.0,28.0,164.554,161.0,169.0,31.498,30.0,33.0,201.24200000000002,196.0,208.0,36.688,35.0,39.0,243.37099999999998,235.0,253.0,42.129,39.0,45.0,290.972,279.0,304.0,47.601000000000006,44.0,51.0,343.87,326.0,362.0,52.898,47.0,58.0,401.667,376.0,427.0,57.797,50.0,65.0,463.75199999999995,428.0,500.0,62.085,52.0,73.0,758.3739999999999,652.0,871.0,79.69800000000001,57.0,104.0,1361.375,995.0,1761.0,85.84200000000001,39.0,138.0
Indiana,2020-03-29,32,1,39.067,39.0,40.0,7.067,7.0,8.0,47.43600000000001,47.0,49.0,8.369,8.0,9.0,57.151,56.0,59.0,9.715,9.0,10.0,68.2,66.0,71.0,11.049000000000001,10.0,12.0,80.80199999999999,77.0,85.0,12.602,11.0,14.0,95.016,89.0,101.0,14.214,12.0,16.0,110.995,103.0,119.0,15.979000000000001,14.0,18.0,128.877,119.0,139.0,17.882,16.0,20.0,148.799,136.0,162.0,19.922,17.0,23.0,170.91099999999997,155.0,188.0,22.112,19.0,26.0,277.317,241.975,317.0,29.057,23.0,36.0,505.978,405.975,626.0,33.568000000000005,22.0,48.0
Iowa,2020-03-29,4,1,5.0,5.0,5.0,1.0,1.0,1.0,6.001,6.0,6.0,1.001,1.0,1.0,7.477,7.0,8.0,1.476,1.0,2.0,9.437999999999999,8.0,10.0,1.9609999999999999,1.0,2.0,11.445,10.0,12.0,2.0069999999999997,2.0,2.0,13.645,12.0,15.0,2.2,2.0,3.0,16.244,14.0,18.0,2.5989999999999998,2.0,3.0,19.202,16.0,22.0,2.958,2.0,4.0,22.403000000000002,19.0,26.0,3.201,3.0,4.0,25.881,22.0,30.0,3.478,3.0,4.0,42.273999999999994,35.0,50.0,4.374,4.0,5.0,74.039,63.0,91.0,4.39,4.0,5.0
Kansas,2020-03-29,7,3,8.863999999999999,8.0,9.0,1.864,1.0,2.0,10.865,10.0,11.0,2.001,2.0,2.0,13.014000000000001,12.0,14.0,2.149,2.0,3.0,15.823,14.0,17.0,2.8089999999999997,2.0,3.0,18.944000000000003,17.0,21.0,3.1210000000000004,3.0,4.0,22.612,20.0,25.0,3.668,3.0,4.0,26.82,24.0,30.0,4.208,4.0,5.0,31.623,28.0,36.0,4.803,4.0,6.0,37.043,33.0,42.0,5.42,5.0,6.0,43.146,38.0,49.0,6.103,5.0,7.0,74.50399999999999,64.0,87.0,9.004,7.0,11.0,161.009,132.0,200.0,14.832,11.0,20.0
Kentucky,2020-03-29,9,0,10.57,10.0,11.0,1.57,1.0,2.0,12.433,11.0,13.0,1.8630000000000002,1.0,2.0,14.415,13.0,15.0,1.982,2.0,2.0,16.597,15.0,18.0,2.182,2.0,3.0,19.134,17.0,21.0,2.537,2.0,3.0,21.843000000000004,19.0,24.0,2.7089999999999996,2.0,3.0,24.929000000000002,21.0,28.0,3.0860000000000003,2.0,4.0,28.401999999999997,23.975,32.0,3.4730000000000003,2.975,4.0,32.054,26.975,36.0,3.6519999999999997,3.0,4.0,36.027,29.975,41.0,3.9730000000000003,3.0,5.0,55.318000000000005,44.975,65.0,5.27,4.0,7.0,100.213,78.975,131.0,7.17,5.0,12.0
"King and Snohomish Counties (excluding Life Care Center), WA",2020-03-29,51,5,62.773,61.0,65.0,11.773,10.0,14.0,74.94800000000001,71.0,80.0,12.175,10.0,15.0,87.5,81.0,96.0,12.552,10.0,16.0,100.37200000000001,90.0,113.0,12.872,9.0,17.0,113.46,99.0,131.0,13.088,9.0,18.0,126.691,107.0,150.0,13.231,8.0,19.0,140.05100000000002,115.0,170.0,13.36,8.0,20.0,153.434,122.0,190.0,13.383,7.0,20.0,166.873,129.0,211.0,13.439,7.0,21.0,180.275,135.0,233.0,13.402000000000001,6.0,22.0,232.75599999999997,153.0,324.0,12.887,4.0,23.0,315.683,166.0,486.025,10.897,1.0,22.0
"Life Care Center, Kirkland, WA",2020-03-29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana,2020-03-29,151,14,185.072,179.0,191.0,34.071999999999996,28.0,40.0,224.238,209.0,240.0,39.166,30.0,49.0,268.801,242.0,298.0,44.563,33.0,58.0,319.10200000000003,277.0,367.0,50.301,35.0,69.0,375.444,314.0,449.0,56.342,37.0,82.0,437.043,352.0,543.0,61.599,38.0,94.0,503.551,390.0,649.0,66.508,38.0,106.0,574.487,428.0,767.0,70.936,38.0,118.0,649.217,465.0,897.0,74.73,37.0,130.0,727.025,500.975,1037.0,77.808,35.975,140.0,1052.219,614.975,1673.025,81.59,24.0,166.025,1544.9260000000002,695.95,2744.125,57.63,5.0,129.025
Maine,2020-03-29,3,2,4.357,4.0,5.0,1.357,1.0,2.0,6.392,6.0,8.0,2.035,2.0,3.0,9.261000000000001,8.0,12.0,2.8689999999999998,2.0,4.0,13.116,11.0,17.0,3.855,3.0,5.0,18.253,15.0,24.0,5.1370000000000005,4.0,7.0,24.974,20.0,33.025,6.721,5.0,9.02499999999998,33.637,26.0,45.05,8.663,6.0,12.025,44.628,33.0,61.05,10.991,7.0,16.0,58.391000000000005,42.0,82.05,13.763,9.0,21.0,75.377,53.0,108.05,16.986,11.0,26.0,185.333,120.0,276.075,34.789,21.0,54.0,601.869,366.95,923.175,78.654,46.975,123.0
Maryland,2020-03-29,10,5,11.958,11.0,13.0,1.9580000000000002,1.0,3.0,14.219000000000001,13.0,16.0,2.261,2.0,3.0,16.836,15.0,20.0,2.617,2.0,4.0,19.901,17.0,25.0,3.065,2.0,5.0,23.404,19.0,31.0,3.503,2.0,6.0,27.410999999999998,21.0,37.025,4.007,2.0,6.024999999999981,31.979,24.0,44.05,4.5680000000000005,3.0,7.024999999999981,37.106,27.0,52.05,5.127000000000001,3.0,8.0,42.809,30.0,61.05,5.702999999999999,3.0,9.0,49.141999999999996,34.0,71.05,6.332999999999999,4.0,10.0,80.602,54.0,120.075,8.837,6.0,13.025,160.533,107.0,243.1,13.216,9.0,22.0
Massachusetts,2020-03-29,48,4,61.755,61.0,63.0,13.755,13.0,15.0,78.528,77.0,81.0,16.773,16.0,18.0,98.529,95.0,103.0,20.000999999999998,18.0,22.0,122.09200000000001,116.0,129.0,23.563000000000002,21.0,26.0,149.594,140.0,160.0,27.502,24.0,31.0,181.43099999999998,168.0,197.0,31.837,28.0,37.0,217.99900000000002,199.0,240.0,36.568000000000005,31.0,43.0,259.724,234.0,289.0,41.725,35.0,49.0,307.031,274.0,346.0,47.306999999999995,40.0,57.0,360.37800000000004,318.0,410.025,53.347,44.0,64.025,628.006,533.0,743.025,73.447,58.0,93.0,1177.9560000000001,929.0,1476.025,75.509,51.0,104.0
Michigan,2020-03-29,132,21,173.56,169.0,179.0,41.56,37.0,47.0,223.639,211.0,238.0,50.07899999999999,42.0,59.0,283.07,259.0,311.0,59.431000000000004,48.0,73.0,352.67400000000004,313.0,400.0,69.604,54.0,89.0,433.254,373.0,506.0,80.58,60.0,106.0,525.633,439.0,630.0,92.37899999999999,66.0,124.0,630.513,512.0,774.0,104.88,73.0,144.0,748.51,592.0,938.0,117.99700000000001,80.0,164.0,879.936,679.0,1123.0,131.42600000000002,87.0,185.0,1024.8039999999999,772.0,1329.0,144.868,93.0,206.0,1648.014,1114.975,2272.0,156.58700000000002,77.975,245.0,2505.72,1427.975,3720.025,86.80799999999999,22.0,156.0
Minnesota,2020-03-29,9,4,12.537,12.0,13.0,3.537,3.0,4.0,17.176,16.0,18.0,4.638999999999999,4.0,5.0,23.122,21.0,25.0,5.946000000000001,5.0,7.0,30.705,27.0,34.0,7.582999999999999,6.0,9.0,40.2,34.0,46.0,9.495,7.0,12.0,51.942,42.0,61.0,11.742,8.0,15.0,66.253,52.0,80.0,14.311,10.0,19.0,83.478,63.0,103.0,17.225,11.0,23.0,103.956,76.0,131.0,20.477999999999998,13.0,28.0,128.01,91.0,165.0,24.054000000000002,15.0,34.0,265.518,175.0,367.0,40.97,25.0,61.0,667.0310000000001,416.0,972.075,66.977,40.0,101.0
Mississippi,2020-03-29,14,1,18.851,16.0,21.0,4.851,2.0,7.0,25.3,19.0,30.0,6.449,3.0,9.0,33.36,22.0,42.0,8.06,3.0,12.0,43.302,26.0,58.0,9.942,4.0,16.0,55.547,30.0,78.0,12.245,4.0,20.0,70.413,35.0,103.0,14.866,5.0,25.0,88.264,41.0,133.0,17.851,6.0,30.0,109.48100000000001,47.0,168.0,21.217,6.0,35.0,134.518,54.0,208.0,25.037,7.0,40.0,163.78799999999998,63.0,252.0,29.27,9.0,44.0,332.468,111.0,500.0,50.494,14.0,76.0,832.081,213.0,1341.025,84.75,14.0,152.0
Missouri,2020-03-29,13,3,15.002,15.0,15.0,2.002,2.0,2.0,17.111,17.0,18.0,2.109,2.0,3.0,19.755,19.0,21.0,2.6439999999999997,2.0,3.0,22.736,22.0,24.0,2.9810000000000003,3.0,3.0,25.816,25.0,28.0,3.08,3.0,4.0,29.334,28.0,32.0,3.5180000000000002,3.0,4.0,33.298,31.0,36.025,3.964,3.0,4.02499999999998,37.538000000000004,35.0,41.025,4.24,4.0,5.0,42.242,39.0,47.025,4.704,4.0,6.0,47.445,43.0,53.025,5.202999999999999,4.0,6.0,72.868,64.0,84.025,7.098,6.0,9.0,138.406,111.0,175.025,11.1,7.0,16.0
Montana,2020-03-29,1,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.003,1.0,1.0,0.003,0.0,0.0,1.025,1.0,1.0,0.022000000000000002,0.0,0.0,1.1,1.0,2.0,0.075,0.0,1.0,1.285,1.0,3.0,0.185,0.0,1.0,1.577,1.0,4.0,0.292,0.0,1.0,2.012,1.0,5.0,0.435,0.0,1.0,2.59,1.0,7.0,0.578,0.0,2.0,7.15,1.0,19.0,1.531,0.0,4.0,29.211,6.0,65.0,4.617,1.0,9.0
Nebraska,2020-03-29,2,0,2.0,2.0,2.0,0.0,0.0,0.0,2.09,2.0,3.0,0.09,0.0,1.0,2.198,2.0,4.0,0.10800000000000001,0.0,1.0,2.371,2.0,5.0,0.17300000000000001,0.0,1.0,2.617,2.0,6.0,0.24600000000000002,0.0,1.0,2.945,2.0,7.0,0.32799999999999996,0.0,1.0,3.3760000000000003,2.0,8.0,0.431,0.0,1.0,3.966,2.0,10.0,0.59,0.0,2.0,4.726,2.0,12.0,0.76,0.0,2.0,5.664,2.0,15.0,0.938,0.0,3.0,12.459000000000001,2.0,33.0,2.254,0.0,6.0,44.376000000000005,9.0,106.0,6.657,2.0,14.0
Nevada,2020-03-29,15,5,18.002,18.0,18.0,3.002,3.0,3.0,21.906,21.0,22.0,3.904,3.0,4.0,26.122,25.0,27.0,4.216,4.0,5.0,31.038,29.0,32.0,4.916,4.0,5.0,36.669000000000004,34.0,38.0,5.631,5.0,6.0,42.996,39.0,45.0,6.327000000000001,5.0,7.0,50.096000000000004,45.0,53.0,7.1,6.0,8.0,58.053000000000004,52.0,62.0,7.957000000000001,7.0,9.0,66.931,60.0,72.0,8.878,8.0,10.0,76.796,69.0,83.0,9.865,9.0,11.0,126.272,112.975,138.0,13.783,12.0,16.0,242.955,207.975,278.0,18.226,14.0,23.0
New Hampshire,2020-03-29,2,0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.008,2.0,2.0,0.008,0.0,0.0,2.05,2.0,3.0,0.042,0.0,1.0,2.168,2.0,4.0,0.11800000000000001,0.0,1.0,2.397,2.0,5.0,0.22899999999999998,0.0,1.0,2.734,2.0,6.0,0.337,0.0,1.0,3.241,2.0,8.0,0.507,0.0,2.0,3.949,2.0,10.0,0.708,0.0,2.0,9.431000000000001,2.0,22.025,1.838,0.0,4.0,36.022,11.0,78.025,5.577999999999999,2.0,11.0
New Jersey,2020-03-29,161,21,201.65400000000002,199.0,205.0,40.654,38.0,44.0,248.954,242.0,258.0,47.3,43.0,53.0,303.298,291.0,320.0,54.343999999999994,49.0,62.0,364.94699999999995,345.0,392.0,61.648999999999994,54.0,72.0,434.10400000000004,404.975,476.0,69.157,59.975,84.0,510.844,469.95,571.0,76.74,64.975,95.0,595.2130000000001,538.95,679.0,84.369,69.0,108.0,687.148,611.95,800.0,91.935,73.0,121.0,784.263,686.95,931.0,97.115,75.0,131.0,885.2180000000001,761.95,1071.0,100.955,75.0,140.0,1296.861,1040.95,1671.025,100.919,64.0,152.0,1841.725,1328.95,2540.05,55.967,24.0,93.0
New Mexico,2020-03-29,2,1,2.0,2.0,2.0,0.0,0.0,0.0,2.106,2.0,3.0,0.106,0.0,1.0,2.242,2.0,4.0,0.136,0.0,1.0,2.45,2.0,5.0,0.20800000000000002,0.0,1.0,2.7689999999999997,2.0,6.0,0.319,0.0,1.0,3.21,2.0,7.0,0.441,0.0,1.0,3.775,2.0,9.0,0.565,0.0,2.0,4.501,2.0,11.0,0.726,0.0,2.0,5.444,2.0,14.0,0.943,0.0,3.0,6.689,2.0,17.0,1.245,0.0,3.0,15.335999999999999,3.0,39.0,2.864,1.0,7.0,55.782,15.0,122.075,8.417,3.0,16.025
New York,2020-03-29,965,237,1242.237,1219.0,1267.025,277.237,254.0,302.025,1574.515,1514.0,1639.025,332.278,295.0,372.0,1965.63,1849.0,2089.025,391.115,335.0,450.0,2417.8360000000002,2220.0,2624.025,452.20599999999996,371.0,535.0,2931.57,2620.0,3252.025,513.734,400.0,628.0,3505.2059999999997,3041.975,3976.025,573.636,421.975,724.0,4137.028,3483.925,4793.05,631.822,441.95,817.025,4821.374,3935.875,5700.075,684.346,451.95,907.025,5550.394,4387.875,6690.075,729.02,452.0,990.0,6314.183000000001,4831.875,7750.1,763.789,444.0,1060.025,9473.97,6380.8,12364.3,779.7819999999999,340.975,1171.075,13689.076000000001,7741.725,19064.425,428.815,98.0,711.0
North Carolina,2020-03-29,7,2,9.835,9.0,10.0,2.835,2.0,3.0,13.360999999999999,12.0,14.0,3.5260000000000002,3.0,4.0,17.899,16.0,19.0,4.538,4.0,5.0,23.638,20.0,26.0,5.739,4.0,7.0,30.826999999999998,25.0,35.0,7.189,5.0,9.0,39.68,31.0,47.0,8.853,6.0,12.0,50.465,38.0,61.0,10.785,7.0,14.0,63.443999999999996,47.0,78.025,12.979000000000001,9.0,17.025,78.859,57.0,99.025,15.415,10.0,21.0,96.959,69.0,124.05,18.1,12.0,25.025,200.678,133.0,276.05,30.958000000000002,19.0,46.0,509.09,318.0,752.05,52.11,31.0,81.0
North Dakota,2020-03-29,1,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.005,1.0,1.0,0.005,0.0,0.0,1.048,1.0,2.0,0.043,0.0,1.0,1.149,1.0,3.0,0.10099999999999999,0.0,1.0,1.3359999999999999,1.0,4.0,0.187,0.0,1.0,1.614,1.0,5.0,0.278,0.0,1.0,4.053,1.0,12.0,0.838,0.0,2.0,16.616,2.975,42.0,2.639,1.0,6.0
Ohio,2020-03-29,29,4,36.051,36.0,37.0,7.051,7.0,8.0,44.448,44.0,46.0,8.397,8.0,9.0,54.369,53.0,57.0,9.921,9.0,11.0,65.813,64.0,69.0,11.444,11.0,12.0,78.915,76.0,83.0,13.102,12.0,14.0,93.785,90.0,99.0,14.87,14.0,16.0,110.541,105.0,118.0,16.756,15.0,19.0,129.26,121.0,139.0,18.719,16.0,21.0,149.99,138.0,163.0,20.73,17.0,24.0,172.831,156.0,191.0,22.840999999999998,18.0,28.0,285.183,235.0,343.0,30.961,20.0,44.0,538.09,359.0,749.025,38.599000000000004,14.0,67.0
