location,date,cumul_deaths,deaths,1_day_cumul_mean,1_day_cumul_lower,1_day_cumul_upper,1_day_mean,1_day_lower,1_day_upper,2_day_cumul_mean,2_day_cumul_lower,2_day_cumul_upper,2_day_mean,2_day_lower,2_day_upper,3_day_cumul_mean,3_day_cumul_lower,3_day_cumul_upper,3_day_mean,3_day_lower,3_day_upper,4_day_cumul_mean,4_day_cumul_lower,4_day_cumul_upper,4_day_mean,4_day_lower,4_day_upper,5_day_cumul_mean,5_day_cumul_lower,5_day_cumul_upper,5_day_mean,5_day_lower,5_day_upper,6_day_cumul_mean,6_day_cumul_lower,6_day_cumul_upper,6_day_mean,6_day_lower,6_day_upper,7_day_cumul_mean,7_day_cumul_lower,7_day_cumul_upper,7_day_mean,7_day_lower,7_day_upper,8_day_cumul_mean,8_day_cumul_lower,8_day_cumul_upper,8_day_mean,8_day_lower,8_day_upper,9_day_cumul_mean,9_day_cumul_lower,9_day_cumul_upper,9_day_mean,9_day_lower,9_day_upper,10_day_cumul_mean,10_day_cumul_lower,10_day_cumul_upper,10_day_mean,10_day_lower,10_day_upper,14_day_cumul_mean,14_day_cumul_lower,14_day_cumul_upper,14_day_mean,14_day_lower,14_day_upper,21_day_cumul_mean,21_day_cumul_lower,21_day_cumul_upper,21_day_mean,21_day_lower,21_day_upper
Georgia,2020-04-01,130,19,151.80200000000002,144.0,161.0,21.741999999999997,17.0,27.0,176.547,162.0,193.0,24.745,19.0,32.0,204.41299999999998,183.0,230.025,27.866,20.0,37.025,235.61900000000003,205.0,273.025,31.206,22.0,43.0,270.38599999999997,229.0,322.025,34.766999999999996,24.0,49.0,308.872,255.0,378.025,38.486,26.0,56.0,351.33099999999996,282.975,441.025,42.458999999999996,28.0,63.0,397.876,312.0,512.025,46.545,30.0,71.0,448.62800000000004,343.975,591.025,50.751999999999995,31.975,79.0,503.663,378.925,679.025,55.035,33.975,87.025,766.5239999999999,529.9,1116.025,72.029,40.0,122.025,1365.2279999999998,836.9,2169.7,93.22200000000001,46.0,168.0
Hawaii,2020-04-01,1,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.012,1.0,1.0,0.012,0.0,0.0,1.054,1.0,2.0,0.042,0.0,1.0,1.162,1.0,3.0,0.10800000000000001,0.0,1.0,1.3840000000000001,1.0,4.0,0.222,0.0,1.0,1.74,1.0,5.0,0.35600000000000004,0.0,1.0,2.262,1.0,7.0,0.522,0.0,2.0,2.966,1.0,9.0,0.7040000000000001,0.0,2.0,3.9139999999999997,1.0,11.0,0.948,0.0,2.0,10.825,2.0,26.0,2.278,1.0,5.0,42.403999999999996,13.0,85.05,6.517,3.0,11.025
Idaho,2020-04-01,9,1,12.0,12.0,12.0,2.009,2.0,2.0,14.19,14.0,15.0,2.19,2.0,3.0,16.907,16.0,18.0,2.717,2.0,3.0,20.062,19.0,22.0,3.155,3.0,4.0,23.459,22.0,27.0,3.397,3.0,5.0,27.252,25.0,33.0,3.793,3.0,6.0,31.689,28.0,39.025,4.437,3.0,6.0,36.525,32.0,46.025,4.836,4.0,7.0,41.781000000000006,36.0,55.0,5.256,4.0,8.02499999999998,47.667,40.0,65.0,5.886,4.0,10.0,76.342,59.0,115.025,7.926,5.0,15.0,144.553,93.0,252.05,10.919,4.0,23.0
Illinois,2020-04-01,123,24,153.27100000000002,148.0,160.0,29.491,26.0,34.0,187.894,177.0,202.0,34.623000000000005,30.0,42.0,227.995,211.0,253.0,40.101,33.0,51.0,273.793,247.0,314.0,45.798,36.975,61.0,325.358,286.0,388.0,51.565,39.0,74.0,382.595,328.975,475.0,57.236999999999995,41.975,87.0,445.225,372.0,577.025,62.63,43.0,103.0,513.837,415.975,698.0,68.612,45.0,121.025,588.294,462.95,837.0,74.457,46.975,140.025,668.3580000000001,509.95,1000.0,80.064,47.975,162.025,1037.381,700.875,1895.225,98.632,45.975,265.025,1786.126,952.8,4556.075,108.73700000000001,24.0,461.025
Indiana,2020-04-01,58,9,68.852,62.0,73.0,10.595,7.0,13.0,80.9,71.0,88.0,12.048,8.0,15.0,94.48700000000001,80.0,105.0,13.587,9.0,17.0,109.74,91.0,124.0,15.253,10.975,19.0,126.785,103.0,145.025,17.045,12.0,22.0,145.732,116.0,170.0,18.947,13.0,25.0,166.701,131.0,197.0,20.969,15.0,28.0,189.46099999999998,146.975,228.0,22.76,15.0,32.0,213.96900000000002,163.0,264.0,24.508000000000003,16.0,36.0,240.15400000000002,180.975,303.0,26.185,16.0,40.0,359.458,248.975,504.025,31.706999999999997,15.975,58.0,597.404,343.95,1047.05,34.27,10.0,93.025
Iowa,2020-04-01,9,2,11.0,11.0,11.0,2.0,2.0,2.0,14.0,14.0,14.0,3.0,3.0,3.0,17.298,17.0,18.0,3.298,3.0,4.0,21.311999999999998,21.0,22.0,4.013999999999999,4.0,4.0,26.31,26.0,27.0,4.998,5.0,5.0,32.266,31.0,33.0,5.956,5.0,6.0,39.255,37.0,41.0,6.989,6.0,8.0,47.43,44.0,50.0,8.175,7.0,9.0,56.93,52.0,61.0,9.5,8.0,11.0,67.90100000000001,62.0,74.0,10.970999999999998,10.0,13.0,129.411,115.0,147.0,18.32,16.0,22.0,322.209,275.0,389.025,34.721,28.0,45.0
Kansas,2020-04-01,11,2,13.110999999999999,13.0,14.0,2.1109999999999998,2.0,3.0,16.073,15.0,17.0,2.9619999999999997,2.0,3.0,19.203,18.0,21.0,3.13,3.0,4.0,22.918000000000003,21.0,25.0,3.715,3.0,4.0,27.173000000000002,25.0,30.0,4.255,4.0,5.0,31.941999999999997,29.0,36.0,4.769,4.0,6.0,37.463,34.0,43.0,5.521,5.0,7.0,43.503,39.0,51.0,6.04,5.0,8.0,50.358999999999995,45.0,61.0,6.856,5.0,10.0,57.828,51.0,72.0,7.468999999999999,6.0,11.0,95.889,78.0,131.0,10.741,7.0,17.0,192.895,134.0,302.025,15.992,8.0,30.0
Kentucky,2020-04-01,12,1,14.890999999999998,14.0,15.0,2.0,2.0,2.0,16.892,16.0,17.0,2.001,2.0,2.0,18.917,18.0,19.025,2.025,2.0,2.02499999999998,21.499000000000002,20.0,22.025,2.582,2.0,3.0,24.483,23.0,25.025,2.984,3.0,3.0,27.511999999999997,26.0,29.0,3.029,3.0,4.0,30.788,29.0,33.0,3.2760000000000002,3.0,4.0,34.489000000000004,32.0,37.0,3.701,3.0,4.0,38.547,36.0,42.0,4.058,3.0,5.0,42.903,40.0,47.0,4.356,4.0,5.0,63.603,56.0,74.025,5.735,4.0,8.0,113.993,86.975,153.0,8.317,4.0,14.0
"King and Snohomish Counties (excluding Life Care Center), WA",2020-04-01,172,14,185.187,180.0,189.0,13.187000000000001,8.0,17.0,198.65900000000002,187.0,207.0,13.472000000000001,7.0,18.0,212.36,193.0,226.0,13.700999999999999,6.0,19.0,226.24599999999998,199.0,245.0,13.886,6.0,19.0,240.263,204.0,265.0,14.017000000000001,5.0,20.0,254.37,208.0,286.0,14.107000000000001,4.0,21.0,268.506,212.0,308.0,14.136,4.0,22.0,282.643,215.0,330.0,14.137,3.0,22.0,296.698,218.0,353.0,14.055,3.0,23.0,310.664,220.0,376.0,13.966,2.0,23.0,364.548,225.975,468.0,13.097000000000001,1.0,23.0,445.974,228.0,620.0,10.357999999999999,0.0,20.0
"Life Care Center, Kirkland, WA",2020-04-01,33,0,33.364000000000004,33.0,34.0,0.364,0.0,1.0,33.709,33.0,35.0,0.345,0.0,1.0,34.029,33.0,36.0,0.32,0.0,1.0,34.323,33.0,37.0,0.294,0.0,1.0,34.575,33.0,38.0,0.252,0.0,1.0,34.782,33.0,39.0,0.207,0.0,1.0,34.935,33.0,40.0,0.153,0.0,1.0,35.03,33.0,41.0,0.095,0.0,1.0,35.071999999999996,33.0,42.0,0.042,0.0,1.0,35.086,33.0,42.0,0.013999999999999999,0.0,0.0,35.086,33.0,42.0,0.0,0.0,0.0,35.086,33.0,42.0,0.0,0.0,0.0
Louisiana,2020-04-01,285,46,337.23400000000004,316.0,354.0,51.698,39.0,62.0,394.11400000000003,355.0,425.0,56.88,39.0,71.0,455.426,392.0,505.0,61.312,37.0,80.0,520.659,427.0,594.0,65.233,35.0,89.0,589.275,459.0,692.0,68.616,32.0,98.0,660.658,487.975,799.0,71.383,28.975,107.0,734.143,512.975,914.0,73.485,25.0,115.0,809.0419999999999,533.975,1035.0,74.899,21.0,121.0,884.65,550.975,1162.0,75.608,17.0,127.0,960.258,564.975,1293.0,75.608,14.0,131.0,1249.238,593.975,1824.0,68.95100000000001,4.0,131.0,1622.942,601.975,2562.0,39.93,0.0,80.0
Maine,2020-04-01,12,7,15.744000000000002,11.0,20.0,3.2039999999999997,2.0,4.0,19.538,14.0,25.0,3.7939999999999996,3.0,5.0,23.98,17.0,31.0,4.442,3.0,6.0,29.116,21.0,38.0,5.136,4.0,7.0,34.972,25.0,46.0,5.856,4.0,8.0,41.596000000000004,29.975,55.0,6.624,4.0,9.0,48.998000000000005,34.975,66.0,7.402,5.0,11.0,57.178000000000004,40.0,78.0,8.18,5.0,12.0,66.128,46.0,91.0,8.95,6.0,13.0,75.774,52.0,105.0,9.646,6.0,14.0,119.913,79.975,173.025,11.684000000000001,7.0,18.0,203.321,130.0,305.025,11.4,7.0,19.0
Maryland,2020-04-01,22,4,28.651999999999997,27.0,29.0,5.754,5.0,6.0,35.452,33.0,36.0,6.8,6.0,7.0,43.534,40.0,45.0,8.082,7.0,9.0,53.03,48.0,56.0,9.496,8.0,11.0,64.056,57.0,69.0,11.026,9.0,13.0,76.74,67.0,85.0,12.684000000000001,10.0,16.0,91.17,78.0,103.0,14.43,11.0,18.0,107.412,90.0,125.0,16.242,12.0,22.0,125.461,103.0,150.0,18.049,13.0,25.0,145.588,116.0,179.0,20.127,13.0,29.0,248.275,174.0,345.0,29.101,15.0,50.0,515.189,267.0,875.0,44.495,11.0,96.025
Massachusetts,2020-04-01,111,22,137.371,131.0,141.025,26.165,22.0,28.025,167.95,156.0,175.025,30.579,25.0,34.0,203.358,183.0,215.025,35.408,27.0,40.0,244.093,213.0,262.0,40.735,30.0,47.0,290.683,245.0,315.0,46.59,32.0,54.0,343.676,280.0,378.025,52.993,35.0,62.0,403.659,316.975,450.0,59.983000000000004,37.0,71.0,471.25699999999995,355.0,530.0,67.598,39.0,81.0,545.1669999999999,395.0,620.025,73.91,40.0,90.0,625.072,435.0,718.0,79.905,40.0,100.0,992.326,586.975,1191.125,97.359,34.975,132.0,1671.23,754.65,2184.125,89.322,15.0,141.075
Michigan,2020-04-01,328,69,409.925,391.0,434.0,81.352,71.0,96.0,503.75,471.0,548.0,93.825,78.975,114.025,610.64,556.975,682.025,106.89,86.0,134.025,731.0110000000001,651.0,836.075,120.37100000000001,93.0,155.0,865.17,749.975,1013.05,134.159,99.0,176.0,1013.12,855.0,1210.025,147.95,103.0,196.0,1174.615,962.975,1424.05,161.495,107.0,215.025,1343.0510000000002,1068.95,1656.025,168.43599999999998,105.0,231.0,1515.4129999999998,1168.925,1897.075,172.362,100.0,243.0,1688.4920000000002,1262.9,2149.025,173.079,93.975,251.0,2327.0170000000003,1542.95,3141.025,146.216,55.975,236.0,2982.191,1714.9,4284.025,55.016999999999996,9.0,103.0
Minnesota,2020-04-01,15,3,19.915,19.0,21.0,4.2410000000000005,4.0,5.0,25.131,24.0,27.0,5.216,5.0,6.0,31.453000000000003,30.0,34.0,6.322,6.0,7.0,38.959,37.0,42.0,7.506,7.0,8.0,47.773,45.0,52.0,8.814,8.0,10.0,58.027,54.0,64.0,10.254000000000001,9.0,12.0,69.844,64.0,78.0,11.817,10.0,14.0,83.37799999999999,75.0,94.0,13.534,11.0,16.0,98.75200000000001,87.0,113.0,15.374,12.0,19.0,116.10799999999999,100.0,134.0,17.355999999999998,13.975,21.0,208.33,167.0,254.0,26.779,19.0,37.0,441.14,306.975,612.025,36.316,20.0,60.025
Mississippi,2020-04-01,24,4,30.695999999999998,29.0,32.0,5.803999999999999,5.0,7.0,37.503,34.0,40.0,6.807,5.0,8.0,45.435,40.0,49.0,7.932,6.0,9.0,54.652,46.0,60.0,9.217,6.0,11.0,65.265,53.0,73.0,10.613,7.0,13.0,77.461,61.0,88.0,12.196,8.0,15.0,91.391,69.975,105.0,13.93,8.0,18.0,107.264,78.0,126.0,15.873,9.0,21.0,125.288,87.0,150.0,18.024,9.0,25.0,145.252,97.0,179.0,19.964000000000002,10.0,28.025,244.304,138.0,333.05,27.535,10.0,45.0,470.819,197.925,762.05,34.25,7.0,71.0749999999999
Missouri,2020-04-01,17,2,19.019000000000002,19.0,19.0,2.019,2.0,2.0,21.403000000000002,21.0,22.0,2.384,2.0,3.0,24.34,23.0,25.0,2.937,2.0,3.0,27.381999999999998,26.0,29.0,3.042,3.0,4.0,30.633000000000003,29.0,33.0,3.2510000000000003,3.0,4.0,34.202,32.0,38.0,3.569,3.0,5.0,38.228,35.0,43.0,4.026,3.0,5.0,42.61600000000001,39.0,49.0,4.388,4.0,6.0,47.302,43.0,55.0,4.686,4.0,6.0,52.4,47.0,62.0,5.098,4.0,7.0,77.12,65.0,99.0,6.843,5.0,10.0,138.974,104.0,202.0,10.383,6.0,18.0
Montana,2020-04-01,5,0,5.0,5.0,5.0,0.0,0.0,0.0,5.004,5.0,5.0,0.004,0.0,0.0,5.489,5.0,6.0,0.485,0.0,1.0,6.456,5.0,7.0,0.9670000000000001,0.0,1.0,7.455,6.0,8.0,0.9990000000000001,1.0,1.0,8.464,7.0,9.0,1.0090000000000001,1.0,1.0,9.638,8.0,11.0,1.1740000000000002,1.0,2.0,11.3,9.0,13.0,1.662,1.0,2.0,13.292,10.0,16.0,1.992,1.0,3.0,15.606,12.0,19.0,2.314,2.0,3.0,29.603,22.0,39.0,4.261,3.0,6.0,74.256,52.0,103.025,7.789,5.0,12.0
Nebraska,2020-04-01,3,0,4.215,4.0,5.0,1.018,1.0,1.0,5.617999999999999,5.0,7.0,1.403,1.0,2.0,7.519,6.0,9.0,1.901,1.0,2.0,9.779,8.0,12.0,2.26,2.0,3.0,12.583,10.0,16.0,2.804,2.0,4.0,15.97,12.0,21.0,3.387,2.0,5.0,20.018,15.0,27.0,4.048,3.0,6.0,24.784000000000002,18.0,34.0,4.766,3.0,7.0,30.344,22.0,42.0,5.56,4.0,8.0,36.742,26.0,51.0,6.398,4.0,9.0,71.324,48.0,102.0,10.027000000000001,6.0,15.0,161.9,102.0,244.05,14.405,8.0,24.0
