location,date,cumul_deaths,deaths,1_day_cumul_mean,1_day_cumul_lower,1_day_cumul_upper,1_day_mean,1_day_lower,1_day_upper,2_day_cumul_mean,2_day_cumul_lower,2_day_cumul_upper,2_day_mean,2_day_lower,2_day_upper,3_day_cumul_mean,3_day_cumul_lower,3_day_cumul_upper,3_day_mean,3_day_lower,3_day_upper,4_day_cumul_mean,4_day_cumul_lower,4_day_cumul_upper,4_day_mean,4_day_lower,4_day_upper,5_day_cumul_mean,5_day_cumul_lower,5_day_cumul_upper,5_day_mean,5_day_lower,5_day_upper,6_day_cumul_mean,6_day_cumul_lower,6_day_cumul_upper,6_day_mean,6_day_lower,6_day_upper,7_day_cumul_mean,7_day_cumul_lower,7_day_cumul_upper,7_day_mean,7_day_lower,7_day_upper,8_day_cumul_mean,8_day_cumul_lower,8_day_cumul_upper,8_day_mean,8_day_lower,8_day_upper,9_day_cumul_mean,9_day_cumul_lower,9_day_cumul_upper,9_day_mean,9_day_lower,9_day_upper,10_day_cumul_mean,10_day_cumul_lower,10_day_cumul_upper,10_day_mean,10_day_lower,10_day_upper,14_day_cumul_mean,14_day_cumul_lower,14_day_cumul_upper,14_day_mean,14_day_lower,14_day_upper,21_day_cumul_mean,21_day_cumul_lower,21_day_cumul_upper,21_day_mean,21_day_lower,21_day_upper
"Other Counties, WA",2020-04-01,46,4,51.089,50.0,52.0,5.0889999999999995,4.0,6.0,56.479,55.0,58.0,5.39,5.0,6.0,62.198,60.0,65.0,5.718999999999999,5.0,7.0,68.30199999999999,65.0,73.0,6.104,5.0,8.0,74.76100000000001,70.0,81.0,6.459,5.0,8.0,81.543,75.0,90.0,6.782,5.0,9.0,88.61200000000001,81.0,99.0,7.069,6.0,9.0,96.01299999999999,87.0,109.0,7.401,6.0,10.0,103.67200000000001,93.0,120.0,7.659,6.0,11.0,111.613,99.0,131.0,7.941,6.0,11.0,145.437,123.0,183.0,8.72,6.0,14.0,207.97400000000002,160.0,296.0,8.863999999999999,5.0,17.0
Pennsylvania,2020-04-01,78,15,97.01799999999999,95.0,100.0,18.408,17.0,20.0,118.523,114.0,124.0,21.505,20.0,24.0,143.385,137.0,152.0,24.862,22.0,28.0,171.912,162.0,185.0,28.526999999999997,25.0,33.0,204.408,190.0,223.0,32.496,28.0,38.0,241.172,221.0,267.0,36.764,31.0,44.0,282.487,255.0,317.0,41.315,34.0,51.0,328.707,292.0,374.0,46.22,37.0,58.0,380.153,332.0,440.0,51.446000000000005,40.0,67.0,437.207,375.0,516.025,57.053999999999995,42.0,76.0,706.505,559.0,902.1,72.64699999999999,47.0,110.0,1248.641,855.975,1835.075,75.96600000000001,36.0,144.025
Rhode Island,2020-04-01,8,0,9.164,9.0,10.0,1.1640000000000001,1.0,2.0,10.799000000000001,10.0,12.0,1.635,1.0,2.0,12.77,11.0,15.0,1.9709999999999999,1.0,3.0,15.078,13.0,18.0,2.3080000000000003,2.0,3.0,17.811,15.0,22.0,2.733,2.0,4.0,20.99,17.0,26.0,3.179,2.0,4.0,24.668000000000003,19.0,31.0,3.678,2.0,5.0,28.853,22.0,37.0,4.185,3.0,6.0,33.566,25.0,44.0,4.713,3.0,7.0,38.812,28.0,52.0,5.246,3.0,8.0,64.942,45.0,90.0,7.227,5.0,11.0,122.184,80.0,182.0,8.392999999999999,5.0,14.0
South Carolina,2020-04-01,26,4,30.991999999999997,31.0,31.0,4.992,5.0,5.0,36.395,36.0,37.0,5.403,5.0,6.0,42.585,42.0,44.0,6.19,6.0,7.0,49.72,48.0,52.0,7.135,6.0,8.0,57.766999999999996,55.0,61.0,8.047,7.0,9.0,66.836,63.0,71.0,9.068999999999999,8.0,10.0,76.971,72.0,83.0,10.135,9.0,12.0,88.244,82.0,96.0,11.273,10.0,13.0,100.706,93.0,111.0,12.462,11.0,15.0,114.428,105.0,128.0,13.722000000000001,12.0,17.0,182.34799999999998,159.0,212.0,18.980999999999998,15.0,24.0,350.31800000000004,279.0,442.025,27.358,18.0,39.0
South Dakota,2020-04-01,1,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.001,1.0,1.0,0.001,0.0,0.0,1.0170000000000001,1.0,1.0,0.016,0.0,0.0,1.084,1.0,2.0,0.067,0.0,1.0,1.212,1.0,3.0,0.128,0.0,1.0,1.411,1.0,4.0,0.19899999999999998,0.0,1.0,1.715,1.0,5.0,0.304,0.0,1.0,2.135,1.0,6.0,0.42,0.0,1.0,5.412000000000001,1.0,16.0,1.117,0.0,3.0,21.041,2.0,51.025,3.237,1.0,7.0
Tennessee,2020-04-01,32,9,44.489,43.0,46.0,12.324000000000002,11.0,13.0,60.768,58.0,64.0,16.279,15.0,18.0,81.949,77.0,87.0,21.180999999999997,19.0,23.0,109.074,101.0,117.0,27.125,24.0,30.0,143.295,130.0,156.0,34.221,30.0,39.0,185.782,167.0,204.0,42.486999999999995,36.0,48.0,237.65400000000002,211.0,263.025,51.872,44.0,59.0,299.923,263.975,335.0,62.269,53.0,72.0,373.38699999999994,325.0,420.0,73.464,62.0,85.0,458.55800000000005,395.975,520.025,85.171,71.0,100.0,915.2719999999999,769.95,1065.025,131.44799999999998,105.0,158.025,2021.168,1628.875,2432.05,163.16899999999998,122.0,207.0
Texas,2020-04-01,64,10,77.618,76.0,78.0,12.654000000000002,12.0,13.0,92.34,90.0,94.0,14.722000000000001,14.0,16.0,109.366,106.0,113.0,17.026,16.0,19.0,128.944,124.0,135.0,19.578,18.0,22.0,151.346,144.0,161.0,22.401999999999997,20.0,25.0,176.877,167.0,190.0,25.531,22.0,29.0,205.825,192.0,224.0,28.948,25.0,34.0,238.514,219.0,263.0,32.689,28.0,39.0,275.293,250.0,308.0,36.779,30.0,45.0,316.532,283.0,359.0,41.239,33.0,52.0,531.738,445.0,643.025,61.773999999999994,45.0,84.0,1131.56,827.0,1541.0,104.258,60.0,165.0
US,2020-04-01,4773,899,5809.29,5628.95,5965.025,1035.759,925.975,1130.0,7003.595,6663.95,7300.025,1194.305,1032.975,1333.05,8363.479,7795.0,8857.0,1359.884,1132.95,1555.075,9892.634,9022.875,10646.25,1529.155,1227.875,1790.025,11591.963,10332.725,12682.25,1699.329,1308.875,2036.0,13456.688,11705.45,14969.3,1864.725,1369.925,2288.025,15481.257,13136.15,17518.2,2024.569,1422.975,2548.0,17649.958,14595.85,20317.15,2168.701,1448.975,2797.05,19946.323,16049.85,23361.075,2296.365,1460.875,3043.0,22353.491,17493.9,26631.35,2407.1679999999997,1454.825,3281.0,32658.958,22871.0,41670.625,2637.0159999999996,1270.975,4016.05,50443.511,30142.275,71914.2,2375.041,863.9,4392.075
Utah,2020-04-01,5,0,6.7,6.0,8.0,1.6469999999999998,1.0,2.0,8.712,7.0,11.0,2.012,1.0,3.0,11.177999999999999,9.0,14.0,2.4659999999999997,2.0,3.0,14.235,11.0,18.0,3.057,2.0,4.0,17.938,14.0,23.0,3.7030000000000003,3.0,5.0,22.357,17.0,29.0,4.419,3.0,6.0,27.585,21.0,36.0,5.228,4.0,7.0,33.68,25.0,45.0,6.095,4.0,9.0,40.725,30.0,55.0,7.045,5.0,10.0,48.762,35.0,66.0,8.037,5.0,11.0,91.536,63.0,128.025,12.319,8.0,18.0,201.554,129.0,300.025,17.462,10.0,29.0
Vermont,2020-04-01,14,1,16.077,15.0,17.0,1.577,1.0,2.0,17.985,16.0,19.0,1.9080000000000001,1.0,2.0,19.967,18.0,21.0,1.982,2.0,2.0,21.941,19.0,23.0,1.974,1.0,2.0,23.866999999999997,20.0,25.0,1.926,1.0,2.0,25.609,21.0,27.0,1.742,1.0,2.0,27.147,22.0,29.0,1.538,1.0,2.0,28.647,23.0,31.0,1.5,1.0,2.0,30.149,24.0,33.0,1.5019999999999998,1.0,2.0,31.703000000000003,25.0,36.0,1.554,1.0,3.0,38.782,29.0,48.0,1.7790000000000001,1.0,3.0,47.858999999999995,32.975,64.0,1.0,0.0,2.0
Virginia,2020-04-01,36,4,40.946,40.0,41.0,4.946000000000001,4.0,5.0,46.201,45.0,47.0,5.255,5.0,6.0,52.148999999999994,50.0,54.0,5.9479999999999995,5.0,7.0,58.67,56.0,61.0,6.521,6.0,7.0,66.056,62.0,69.0,7.386,6.0,8.0,74.109,69.0,79.0,8.052999999999999,7.0,10.0,83.05,76.0,90.0,8.941,7.0,11.0,92.833,84.0,102.0,9.783,8.0,12.0,103.54299999999999,93.0,116.0,10.71,9.0,14.0,115.241,102.0,131.0,11.698,9.0,15.0,172.64,143.0,211.0,16.038,11.0,23.0,320.35900000000004,226.0,454.0,25.122,12.0,45.0
Washington,2020-04-01,251,18,269.64,263.0,274.0,18.64,12.0,23.0,288.847,275.0,298.0,19.207,12.0,24.0,308.587,286.0,324.0,19.74,11.0,26.0,328.871,297.0,351.0,20.284000000000002,11.0,27.0,349.599,307.0,379.0,20.728,10.0,28.0,370.695,316.0,409.0,21.096,9.0,30.0,392.05300000000005,326.0,440.025,21.358,10.0,31.0,413.686,335.0,472.025,21.633000000000003,9.0,32.0,435.44199999999995,344.0,505.0,21.756,9.0,33.025,457.36300000000006,352.0,539.025,21.921,8.0,34.0,545.071,381.975,683.05,21.816999999999997,7.0,37.0,689.034,421.0,948.075,19.222,5.0,37.0
West Virginia,2020-04-01,1,0,1.097,1.0,2.0,0.09699999999999999,0.0,1.0,1.212,1.0,2.0,0.115,0.0,1.0,1.3619999999999999,1.0,2.0,0.15,0.0,1.0,1.62,1.0,3.0,0.258,0.0,1.0,1.946,1.0,4.0,0.326,0.0,1.0,2.4090000000000003,1.0,5.0,0.46299999999999997,0.0,1.0,2.987,1.0,7.0,0.578,0.0,2.0,3.7310000000000003,1.0,9.0,0.7440000000000001,0.0,2.0,4.687,1.0,12.0,0.956,0.0,3.0,5.94,1.0,15.0,1.253,0.0,3.0,14.51,2.0,37.025,2.82,0.0,7.0,53.147,8.0,121.025,7.932,2.0,16.0
Wisconsin,2020-04-01,29,4,34.978,34.0,36.0,5.285,5.0,6.0,40.937,39.0,43.0,5.959,5.0,7.0,47.576,45.0,51.0,6.638999999999999,6.0,8.0,55.199,51.0,60.0,7.622999999999999,6.0,9.0,63.701,58.0,70.0,8.502,7.0,10.0,73.135,65.0,82.0,9.434,7.0,12.0,83.47200000000001,73.0,95.0,10.337,8.0,13.0,94.81200000000001,81.0,110.0,11.34,8.0,15.0,107.102,89.0,127.0,12.29,8.0,17.0,120.414,98.0,145.0,13.312000000000001,9.0,18.0,183.497,134.0,240.0,17.224,9.0,27.0,327.443,191.0,494.025,22.682,7.0,44.0
Wyoming,2020-04-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.026000000000000002,0.0,0.0,0.024,0.0,0.0,0.11,0.0,1.0,0.084,0.0,1.0,0.255,0.0,2.0,0.145,0.0,1.0,0.493,0.0,3.0,0.23800000000000002,0.0,1.0,2.5639999999999996,0.0,9.0,0.713,0.0,2.0,12.852,0.0,32.0,2.1390000000000002,0.0,4.0
